Designator,Mid X,Mid Y,Rotation,Layer
S1,106.9975,-62.4967,0.0,top
S10,126.0475,-91.0717,0.0,top
S11,145.0975,-86.3092,0.0,top
S12,164.1475,-91.0717,0.0,top
S13,165.340376,-112.883075,355.0,top
S14,186.508551,-115.484016,350.0,top
S15,207.651527,-120.548751,345.0,top
S16,183.1975,-55.35295,0.0,top
S17,183.1975,-74.40295,0.0,top
S18,183.1975,-93.45295,0.0,top
S2,126.0475,-52.9717,0.0,top
S3,145.0975,-48.2092,0.0,top
S4,164.1475,-52.9717,0.0,top
S5,106.9975,-81.5467,0.0,top
S6,126.0475,-72.0217,0.0,top
S7,145.0975,-67.2592,0.0,top
S8,164.1475,-72.0217,0.0,top
S9,106.9975,-100.5967,0.0,top
U1,209.39125,-76.60875,0.0,top
U2,217.1025,-109.19625,270.0,top
U3,217.1025,-109.19625,90.0,bottom
